Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - German,pct_german
0500000US01001,01001,"Autauga County, Alabama",54590,,3200,5.8618794651
0500000US01003,01003,"Baldwin County, Alabama",183226,,16841,9.1913811359
0500000US01005,01005,"Barbour County, Alabama",27469,,893,3.2509374204
0500000US01007,01007,"Bibb County, Alabama",22769,,751,3.29834424
0500000US01009,01009,"Blount County, Alabama",57466,,3263,5.6781401176
0500000US01011,01011,"Bullock County, Alabama",10779,,143,1.3266536784
0500000US01013,01013,"Butler County, Alabama",20730,,390,1.8813314038
0500000US01015,01015,"Calhoun County, Alabama",117834,,6212,5.2718230731
0500000US01017,01017,"Chambers County, Alabama",34228,,930,2.7170737408
0500000US01019,01019,"Cherokee County, Alabama",25917,,1157,4.4642512636
0500000US01021,01021,"Chilton County, Alabama",43611,,1929,4.4231959827
0500000US01023,01023,"Choctaw County, Alabama",13838,,151,1.09119815
0500000US01025,01025,"Clarke County, Alabama",25768,,408,1.5833592052
0500000US01027,01027,"Clay County, Alabama",13828,,260,1.8802429852
0500000US01029,01029,"Cleburne County, Alabama",14905,,392,2.6299899363
0500000US01031,01031,"Coffee County, Alabama",49966,,3130,6.2642596966
0500000US01033,01033,"Colbert County, Alabama",54451,,2132,3.9154469156
0500000US01035,01035,"Conecuh County, Alabama",13188,,370,2.8055808311
0500000US01037,01037,"Coosa County, Alabama",11305,,205,1.8133569217
0500000US01039,01039,"Covington County, Alabama",37803,,816,2.1585588445
0500000US01041,01041,"Crenshaw County, Alabama",13971,,252,1.8037363109
0500000US01043,01043,"Cullman County, Alabama",80403,,10671,13.2718928398
0500000US01045,01045,"Dale County, Alabama",50129,,3970,7.9195675158
0500000US01047,01047,"Dallas County, Alabama",43572,,1039,2.384558891
0500000US01049,01049,"DeKalb County, Alabama",70949,,2799,3.9450873162
0500000US01051,01051,"Elmore County, Alabama",79330,,4635,5.8426824656
0500000US01053,01053,"Escambia County, Alabama",38122,,1025,2.6887361628
0500000US01055,01055,"Etowah County, Alabama",104317,,4633,4.4412703586
0500000US01057,01057,"Fayette County, Alabama",17219,,543,3.1534932342
0500000US01059,01059,"Franklin County, Alabama",31664,,1017,3.2118494189
0500000US01061,01061,"Geneva County, Alabama",26769,,910,3.399454593
0500000US01063,01063,"Greene County, Alabama",9067,,68,0.7499724275
0500000US01065,01065,"Hale County, Alabama",15750,,544,3.453968254
0500000US01067,01067,"Henry County, Alabama",17275,,420,2.4312590449
0500000US01069,01069,"Houston County, Alabama",101459,,4651,4.5841177224
0500000US01071,01071,"Jackson County, Alabama",53279,,2036,3.8213930442
0500000US01073,01073,"Jefferson County, Alabama",658464,,27068,4.1107790251
0500000US01075,01075,"Lamar County, Alabama",14513,,456,3.1420106112
0500000US01077,01077,"Lauderdale County, Alabama",92528,,4356,4.7077641363
0500000US01079,01079,"Lawrence County, Alabama",34148,,1620,4.7440552887
0500000US01081,01081,"Lee County, Alabama",140938,,9675,6.8647206573
0500000US01083,01083,"Limestone County, Alabama",83313,,4378,5.2548821913
